index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep,Jquasisymmetry,Jiota,Jmercier,Jaspect,Jwell
76,77,0.05491673514642832,6.120050454685685e-07,10.622777728807758,8.815318707406293e-11,5.168430200594685e-09,0.0,4.7147911877136034e-09,1.043131234440216e-08,12.50047625155221,14.347959660551659,0.0019530246215448879,0.0021466200134993376,0.14972819327443643,0.021402657473506066,8.453072763269308e-05,0.0,0.0010483837771777672,
77,78,0.054815342039003206,6.13924716789005e-07,10.619970406706743,1.4170966694144314e-11,4.90347738113804e-09,0.0,1.104438280106166e-09,1.040544816311862e-08,12.505327154740575,14.344881517564762,0.0019562182320399563,0.001092458006861827,0.1498927911111199,0.021412771194123346,8.593679806077969e-05,0.0,0.001025590285268899,
78,79,0.054685726071896076,6.100231764670744e-07,10.623490629065557,1.8187754950653278e-10,5.8227980157539025e-09,0.0,1.0081059938645858e-09,1.0432067290719532e-08,12.518333666864034,14.352602730676985,0.0019483375352192139,0.0010649037271247802,0.14965463829193898,0.02144228241235576,8.467085273795946e-05,0.0,0.0010233338663148599,
79,80,0.05463257333082867,6.031067980508186e-07,10.627914872260586,3.8056056496616376e-11,8.14565980538441e-09,0.0,2.152063063270068e-09,1.045897112635527e-08,12.542934074530788,14.362281140914293,0.0019374576236824048,0.001502755598002241,0.1498321829893834,0.021499566021059645,9.410523429992024e-05,0.0,0.00099687756165367,
80,81,0.054580093103738306,6.017834756566137e-07,10.629295470354585,3.69365761433508e-11,8.80355096649161e-09,0.0,2.2509560113147644e-09,1.0468366009091452e-08,12.54525579065036,14.36458157171245,0.0019312084595685581,0.0015411122247467864,0.1498227111772343,0.02156093489761177,8.560619202384361e-05,0.0,0.0009959320249052675,
81,82,0.0545091821204934,6.014672094291727e-07,10.630333844326529,2.6461872445734338e-11,8.300500794765951e-09,0.0,2.157782579150961e-09,1.0479232435109961e-08,12.549295678062585,14.364262937631011,0.001927759483921702,0.0015124371575858957,0.14981624719869568,0.021579520468078206,8.20597562678604e-05,0.0,0.000987504734204345,
82,83,0.05445860090983715,5.98754396854925e-07,10.63188410088366,0.0,8.901590864774675e-09,0.0,1.8115060405261766e-09,1.0488919275381012e-08,12.556255271442469,14.364426702195844,0.001923437376916928,0.00140627006344711,0.15001294012676136,0.021519142296619435,9.275325792206875e-05,0.0,0.0010141053822166836,
83,84,0.05439343356908864,5.969281280208605e-07,10.632458959884154,0.0,8.649529858323855e-09,0.0,1.656609378025078e-09,1.0492607455442848e-08,12.571214934190015,14.36302876681821,0.001920745235194863,0.001349515776022009,0.15008603863369313,0.02149250799569747,9.415456807739344e-05,0.0,0.001073036156984744,
84,85,0.054294775470211526,5.956329206326168e-07,10.632969011521496,2.4184908365091114e-11,8.497958233166754e-09,0.0,1.5506161328790529e-09,1.0494758174400722e-08,12.54936577221621,14.360648896089675,0.0019190753074808926,0.0013008297424028329,0.14988342007957897,0.02155116353527921,8.882937403679966e-05,0.0,0.0010452962904929771,
85,86,0.05423151645841501,5.947545230895617e-07,10.633209295794764,3.734694046427015e-11,1.0398228319611418e-08,0.0,2.518906364971519e-10,1.0490392627901784e-08,12.547515084540816,14.366722316136698,0.0019204640076920963,0.0007230408335396983,0.1498897696708334,0.02153954610448508,8.658908931838931e-05,0.0,0.0010294603800442015,
